# 0: Root
# 1: Gender (m = masculine, f = feminine, n = neuter or irregular)
# 2: Declension (1 through 5)
# 3: Genitive singular
# 4: Plural
# 5: Strong plural?
# 7: Translation (singular)
# 8: Translation (plural)

sloinne,    m, 4, sloinne,      sloinnte,       false,  last name,      last names
spéir,      f, 2, spéire,       spéartha,       true,   sky,            skies
teanga,     f, 4, teanga,       teangacha,      false,  language,       languages
tine,       f, 4, tine,         tinte,          false,  fire,           fires
tír,        f, 2, tíre,         tíortha,        true,   country,        country
tonn,       f, 2, toinne,       tonnta,         true,   wave,           waves
toradh,     m, 1, toraidh,      torthaí,        true,   fruit,          fruits
troid,      f, 3, troda,        troideanna,     false,  fight,          fights
ubh,        f, 2, uibhe,        uibheacha,      true,   egg,            eggs
úll,        m, 1, úill,         úlla,           false,  apple,          apple
