rith, nil,   rite,   rith, i, 1, false, run,   ran,    run
ól,   nil,   ólta,   ól,   ó, 1, false, drink, drank,  drunk
siúl, siúil, siúlta, siúl, ú, 1, false, walk,  walked, walked
